Course Code,Course Number,Titles,Day,Time,Location
ACC,363,Cost Analysis & Control,Wednesday,2:00-4:09,Falk
ACC,385,Principles of Taxation,Thursday,3:00-5:09,Marshall Square Mall
ACC,476,Auditing Theory/Practice,Friday,4:00-6:09,Lyman Hall
ACC,477,Advanced Financial Accounting,Monday,5:00-7:09,Whitman
ACC,481,Taxation of Business Entities,Tuesday,6:00-8:09,Schine
ACC,499,Honors Capstone Project,Wednesday,7:00-9:27,Heroy Geology Building
ADD,241,Advertising Principles,Thursday,7:00-9:28,HBC Gifford
ADD,242,Strategy in Advertising,Friday,7:00-9:29,Crouse-Hinds Hall
ADD,281,Advertising Design Methods,Monday,1:00-3:10,Dineen Hall
ADD,282,Advertising Design Skills and Processes,Tuesday,2:00-4:10,Hinds Hall
ADD,341,Advertising Campaigns,Wednesday,3:00-5:10,Carnegie
ADD,342,Advertising Problem Solving,Thursday,4:00-6:10,Hall of Languages
ADD,440,Ad Design Research Problems,Friday,5:00-7:10,Physics Building
ADD,441,Campaign Refinement,Monday,6:00-8:10,Falk
ADD,442,Final Portfolio,Tuesday,7:00-9:30,Marshall Square Mall
ADD,443,Television Concepts,Wednesday,7:00-9:31,Lyman Hall
ADD,444,TV Commercial Production,Thursday,7:00-9:32,Whitman
ADD,453,Communication Arts/London,Friday,1:00-3:11,Schine
ADD,454,Communication Arts/London,Monday,2:00-4:11,Heroy Geology Building
ADD,499,Honors Capstone Project,Tuesday,3:00-5:11,HBC Gifford
ADD,540,Offset Printing,Wednesday,4:00-6:11,Crouse-Hinds Hall
ADV,200,Selected Topics,Thursday,5:00-7:11,Dineen Hall
ADV,201,Best Advertisements in the Universe,Friday,6:00-8:11,Hinds Hall
ADV,206,Advertising Practice in a Diverse Society,Monday,7:00-9:33,Carnegie
ADV,208,The Big Idea in Advertising,Tuesday,7:00-9:34,Hall of Languages
ADV,300,Selected Topics,Wednesday,7:00-9:35,Physics Building
ADV,307,Conceptual and Creative Thinking in Media Planning,Thursday,1:00-3:12,Falk
ADV,345,International Advertising,Friday,2:00-4:12,Marshall Square Mall
ADV,400,Selected Topics,Monday,3:00-5:12,Lyman Hall
ADV,401,Portfolio I,Tuesday,4:00-6:12,Whitman
ADV,421,Portfolio II,Wednesday,5:00-7:12,Schine
ADV,425,Integrated Advertising Campaigns,Thursday,6:00-8:12,Heroy Geology Building
ADV,431,Portfolio III,Friday,7:00-9:36,HBC Gifford
ADV,499,Honors Capstone Project,Monday,7:00-9:37,Crouse-Hinds Hall
ADV,500,Selected Topics,Tuesday,7:00-9:38,Dineen Hall
ADV,507,Strategic Media Planning,Wednesday,1:00-3:13,Hinds Hall
ADV,509,Advertising Research and Planning: A Case Study Approach,Thursday,2:00-4:13,Carnegie
ADV,523,Digital Branding and Strategy,Friday,3:00-5:13,Hall of Languages
ADV,526,Fashion Advertising and Promotion,Monday,4:00-6:13,Physics Building
AED,211,The Creative Classroom: Reexamining School Art Misconceptions Through Studio Inquiry,Tuesday,5:00-7:13,Falk
AED,300,Selected Topics,Wednesday,6:00-8:13,Marshall Square Mall
AED,317,Philosophy & Foundations of Art Education Practice,Thursday,7:00-9:39,Lyman Hall
AED,470,Experience Credit,Friday,7:00-9:40,Whitman
AED,499,Honors Capstone Project,Monday,7:00-9:41,Schine
AED,510,Special Problems in Art Ed,Tuesday,1:00-3:14,Heroy Geology Building
AED,524,Visual Language,Wednesday,2:00-4:14,HBC Gifford
AED,534,Creative Processes and Curriculum Structures,Thursday,3:00-5:14,Crouse-Hinds Hall
AED,584,"Cultural Knowledge, Identity, and Postmodern Art Education",Friday,4:00-6:14,Dineen Hall
AEE,270,Experience Credit,Monday,5:00-7:14,Hinds Hall
AEE,290,Independent Study,Tuesday,6:00-8:14,Carnegie
AEE,342,Aerodynamics,Wednesday,7:00-9:42,Hall of Languages
AEE,343,Compressible Flow,Thursday,7:00-9:43,Physics Building
AEE,427,Aircraft Performance and Dynamics,Friday,7:00-9:44,Falk
AEE,442,High Speed Aerodynamics,Monday,1:00-3:15,Marshall Square Mall
AEE,446,Propulsion,Tuesday,2:00-4:15,Lyman Hall
AEE,470,Experience Credit,Wednesday,3:00-5:15,Whitman
AEE,471,Design/Analysis of Aerospace Structure,Thursday,4:00-6:15,Schine
AEE,472,Synth of Aerosp Systems,Friday,5:00-7:15,Heroy Geology Building
AEE,490,Independent Study,Monday,6:00-8:15,HBC Gifford
AEE,491,Hypersonics Research Project I,Tuesday,7:00-9:45,Crouse-Hinds Hall
AEE,492,HypHypersonics Research Project II,Wednesday,7:00-9:46,Dineen Hall
AEE,499,Honors Capstone Project,Thursday,7:00-9:47,Hinds Hall
AEE,527,Helicopter Dynamics,Friday,1:00-3:16,Carnegie
AEE,542,Hypersonic/High Temperature Gas Dynamics,Monday,2:00-4:16,Hall of Languages
AEE,577,Introduction to Space Flight,Tuesday,3:00-5:16,Physics Building
AIC,200,Selected Topics,Wednesday,4:00-6:16,Falk
AIC,201,Special Topics Workshop in Arts in Context,Thursday,5:00-7:16,Marshall Square Mall
AIC,221,Special Topics in Arts in Context,Friday,6:00-8:16,Lyman Hall
AIC,294,Document as Art,Monday,7:00-9:48,Whitman
AIC,300,Selected Topics,Tuesday,7:00-9:49,Schine
AIC,311,Creative Leadership and Social Responsibility in the Arts,Wednesday,7:00-9:50,Heroy Geology Building
AIC,312,Methods in Creative Leadership: Talent/Agency,Thursday,1:00-3:17,HBC Gifford
AIC,318,Collaborative Arts & Design Practices,Friday,2:00-4:17,Crouse-Hinds Hall
AIC,321,"Art, Activism, Modernity",Monday,3:00-5:17,Dineen Hall
AIC,331,Outside the Classroom,Tuesday,4:00-6:17,Hinds Hall
AIC,332,The Artist Critic,Wednesday,5:00-7:17,Carnegie
AIC,340,Visiting Artist Lecture Series,Thursday,6:00-8:17,Hall of Languages
AIC,394,Collaborative Art,Friday,7:00-9:51,Physics Building
AIC,395,Research as Art,Monday,7:00-9:52,Falk
AIC,400,Selected Topics,Tuesday,7:00-9:53,Marshall Square Mall
AIC,423,Artists Who Write,Wednesday,1:00-3:18,Lyman Hall
AIC,441,History of Jewelry and Metalsmithing,Thursday,2:00-4:18,Whitman
AIC,470,Experience Credit,Friday,3:00-5:18,Schine
AIC,490,Independent Study,Monday,4:00-6:18,Heroy Geology Building
AIC,495,Archive as Art,Tuesday,5:00-7:18,HBC Gifford
AIC,500,Selected Topics,Wednesday,6:00-8:18,Crouse-Hinds Hall
ANT,100,Selected Topics,Thursday,7:00-9:54,Dineen Hall
ANT,111,Introduction to Cultural Anthropology,Friday,7:00-9:55,Hinds Hall
ANT,112,Introduction to African American Studies,Monday,7:00-9:56,Carnegie
ANT,121,Peoples and Cultures of the World,Tuesday,1:00-3:19,Hall of Languages
ANT,131,Introduction to Biological Anthropology,Wednesday,2:00-4:19,Physics Building
ANT,141,Introduction to Archaeology and Prehistory,Thursday,3:00-5:19,Falk
ANT,145,Introduction to Historical Archaeology,Friday,4:00-6:19,Marshall Square Mall
ANT,185,Global Encounters:Comparing World Views & Values Cross-Culturally,Monday,5:00-7:19,Lyman Hall
ANT,200,Selected Topics,Tuesday,6:00-8:19,Whitman
ANT,202,Languages of the World,Wednesday,7:00-9:57,Schine
ANT,221,Morality and Community,Thursday,7:00-9:58,Heroy Geology Building
ANT,249,Archaeology at the Movies:The Scientific Study of the Past in Popular Culture,Friday,7:00-9:59,HBC Gifford
ANT,270,Experience Credit,Monday,1:00-3:00,Crouse-Hinds Hall
ANT,273,Indigenous Religions,Tuesday,2:00-4:00,Dineen Hall
ANT,290,Independent Study,Wednesday,3:00-5:00,Hinds Hall
ANT,300,Selected Topics,Thursday,4:00-6:00,Carnegie
ANT,311,Anthropological Theory,Friday,5:00-7:00,Hall of Languages
ANT,318,African Cultures,Monday,6:00-8:00,Physics Building
ANT,322,South American Cultures,Tuesday,7:00-9:00,Falk
ANT,323,Peoples and Cultures of North America,Wednesday,1:00-3:01,Marshall Square Mall
ANT,324,Modern South Asian Cultures,Thursday,2:00-4:01,Lyman Hall
ANT,325,Anthropology of American Life in Film,Friday,3:00-5:01,Whitman
AN,T 32,#NAME?,Monday,4:00-6:01,Schine
ANT,327,Anthropology of Race in Latin America and the Caribbean,Tuesday,5:00-7:01,Heroy Geology Building
ANT,332,Intro to Forensic Anthropology,Wednesday,6:00-8:01,HBC Gifford
ANT,343,The Maya: Ancient and Modern,Thursday,7:00-9:01,Crouse-Hinds Hall
ANT,346,Gender In The Past,Friday,1:00-3:02,Dineen Hall
ANT,348,"Mummies, Tombs, and Treasure",Monday,2:00-4:02,Hinds Hall
ANT,352,"Food, Culture and Identity",Tuesday,3:00-5:02,Carnegie
ANT,355,Spanish Society and Pop Culture,Wednesday,4:00-6:02,Hall of Languages
ANT,356,Applied Anthropology,Thursday,5:00-7:02,Physics Building
ANT,357,"Health, Healing, and Culture",Friday,6:00-8:02,Falk
ANT,358,"Peace, War and Security",Monday,7:00-9:02,Marshall Square Mall
ANT,363,Anthropology of Family Life,Tuesday,1:00-3:03,Lyman Hall
ANT,365,Sexual Attraction in Cross-cultural Perspective,Wednesday,2:00-4:03,Whitman
ANT,367,Gender in a Globalizing World,Thursday,3:00-5:03,Schine
ANT,373,Magic and Religion,Friday,4:00-6:03,Heroy Geology Building
ANT,376,Folklore,Monday,5:00-7:03,HBC Gifford
ANT,377,Quilts and Community,Tuesday,6:00-8:03,Crouse-Hinds Hall
ANT,380,International Course,Wednesday,7:00-9:03,Dineen Hall
ANT,381,Ancient Rituals and Beliefs in Modern Spain,Thursday,1:00-3:04,Hinds Hall
ANT,382,Health in the Middle East,Friday,2:00-4:04,Carnegie
ANT,390,Independent Study,Monday,3:00-5:04,Hall of Languages
ANT,400,Selected Topics,Tuesday,4:00-6:04,Physics Building
ANT,402,Ethnic History of Britain,Wednesday,5:00-7:04,Falk
ANT,403,"Culture, Confucianism and Chinese Modernity",Thursday,6:00-8:04,Marshall Square Mall
ANT,404,Family and Gender in Renaissance Italy,Friday,7:00-9:04,Lyman Hall
ANT,405,Conservation and Management Protected Areas: South Africa-OTS,Monday,1:00-3:05,Whitman
ANT,406,History and Culture of South Africa OTS,Tuesday,2:00-4:05,Schine
ANT,407,Environment and Policy in the Tropics OTS,Wednesday,3:00-5:05,Heroy Geology Building
ANT,408,The Practice of Eros:A History of Sexuality in Europe (1400-1800),Thursday,4:00-6:05,HBC Gifford
ANT,409,A History of Witchcraft,Friday,5:00-7:05,Crouse-Hinds Hall
ANT,414,"Cities, Spaces and Power",Monday,6:00-8:05,Dineen Hall
ANT,415,Culture &Personality,Tuesday,7:00-9:05,Hinds Hall
ANT,416,Political Anthropology,Wednesday,1:00-3:06,Carnegie
ANT,417,Economic Anthropology,Thursday,2:00-4:06,Hall of Languages
ANT,421,Gender & Sexuality in South Asia,Friday,3:00-5:06,Physics Building
ANT,422,Etruscans and Romans: Ancient Art and Society in Italy,Monday,4:00-6:06,Falk
ANT,423,Effects of Globalization in Latin America,Tuesday,5:00-7:06,Marshall Square Mall
ANT,424,Negotiation: Theory and Practice,Wednesday,6:00-8:06,Lyman Hall
ANT,426,Cultures and Politics of Afghanistan and Pakistan,Thursday,7:00-9:06,Whitman
ANT,427,Brazil: Anthropological Perspectives,Friday,1:00-3:07,Schine
ANT,428,Transformation of Eastern Europe,Monday,2:00-4:07,Heroy Geology Building
ANT,429,Cultures of the Iberian Peninsula,Tuesday,3:00-5:07,HBC Gifford
ANT,431,Human Variation,Wednesday,4:00-6:07,Crouse-Hinds Hall
ANT,433,Human Osteology,Thursday,5:00-7:07,Dineen Hall
ANT,434,Anthropology of Death,Friday,6:00-8:07,Hinds Hall
ANT,436,Bioarchaeology,Monday,7:00-9:07,Carnegie
ANT,438,Beyond the Biological Need to Eat: The Archaeology of Food,Tuesday,1:00-3:08,Hall of Languages
ANT,439,Climate Change and Human Origins,Wednesday,2:00-4:08,Physics Building
ANT,442,Methods in Archaeology,Thursday,3:00-5:08,Falk
ANT,443,Field Methods in Archaeology,Friday,4:00-6:08,Marshall Square Mall
ANT,444,Laboratory Analysis in Archaeology,Monday,5:00-7:08,Lyman Hall
ANT,445,Public Policy and Archaeology,Tuesday,6:00-8:08,Whitman
ANT,446,Caribbean Archaeology,Wednesday,7:00-9:08,Schine
ANT,447,Archaeology of North America,Thursday,1:00-3:09,Heroy Geology Building
ANT,448,Imperial Remains: The Archaeology of Colonialism,Friday,2:00-4:09,HBC Gifford
ANT,449,World Heritage Sites,Monday,3:00-5:09,Crouse-Hinds Hall
ANT,450,Undergrad Research Prog,Tuesday,4:00-6:09,Dineen Hall
ANT,452,Anthropology and Public Policy,Wednesday,5:00-7:09,Hinds Hall
ANT,453,"Poverty, Policy, and Human Services",Thursday,6:00-8:09,Carnegie
ANT,455,Culture and AIDS,Friday,7:00-9:09,Hall of Languages
ANT,456,Representations of Indigenous Peoples in Popular Culture,Monday,1:00-3:10,Physics Building
ANT,458,Anthropology of Social Change,Tuesday,2:00-4:10,Falk
ANT,459,Contemporary Native North American Issues,Wednesday,3:00-5:10,Marshall Square Mall
ANT,461,Museums and Native Americans,Thursday,4:00-6:10,Lyman Hall
ANT,462,Culture and Reproductive Health and Medicine,Friday,5:00-7:10,Whitman
ANT,463,Global Health,Monday,6:00-8:10,Schine
ANT,465,Critical Issues in Medical Anthropology,Tuesday,7:00-9:10,Heroy Geology Building
ANT,466,Culture and Sexual Behavior,Wednesday,1:00-3:11,HBC Gifford
ANT,467,Culture and Mental Disorders,Thursday,2:00-4:11,Crouse-Hinds Hall
ANT,468,Middle East in Anthropological Perspective,Friday,3:00-5:11,Dineen Hall
ANT,469,Medical Anthropology in Ecological Perspective,Monday,4:00-6:11,Hinds Hall
ANT,470,Experience Credit,Tuesday,5:00-7:11,Carnegie
ANT,471,Religion and Society in Brazil,Wednesday,6:00-8:11,Hall of Languages
ANT,473,Peace and Conflict in the Balkans: Anthropological Perspectives,Thursday,7:00-9:11,Physics Building
ANT,475,Culture and Disputing,Friday,1:00-3:12,Falk
ANT,476,"Women, War and Peace",Monday,2:00-4:12,Marshall Square Mall
ANT,477,Culture and Conflict,Tuesday,3:00-5:12,Lyman Hall
ANT,479,Anthropology of Global Transformations,Wednesday,4:00-6:12,Whitman
ANT,481,Ethnographic Techniques,Thursday,5:00-7:12,Schine
ANT,482,Life Histories/Narratives,Friday,6:00-8:12,Heroy Geology Building
ANT,483,Social Movement Theory,Monday,7:00-9:12,HBC Gifford
ANT,484,Social Movement Research Methods,Tuesday,1:00-3:13,Crouse-Hinds Hall
ANT,490,Independent Study,Wednesday,2:00-4:13,Dineen Hall
ANT,494,Underground Railroad,Thursday,3:00-5:13,Hinds Hall
ANT,495,Research for Distinction in Anthropology,Friday,4:00-6:13,Carnegie
ANT,496,Distinction in Anthropology,Monday,5:00-7:13,Hall of Languages
ANT,499,Honors Capstone Project,Tuesday,6:00-8:13,Physics Building
ANT,500,Selected Topics,Wednesday,7:00-9:13,Falk
ANT,553,Women and Social Change,Thursday,1:00-3:14,Marshall Square Mall
ANT,574,Anthropology and Physical Design,Friday,2:00-4:14,Lyman Hall
APH,180,International Course,Monday,3:00-5:14,Whitman
APH,242,Art Photography Intro II,Tuesday,4:00-6:14,Schine
APH,243,Digital Imaging for Art Photo,Wednesday,5:00-7:14,Heroy Geology Building
APH,261,"Art Photography, Introduction",Thursday,6:00-8:14,HBC Gifford
APH,262,Art Photography Introduction II,Friday,7:00-9:14,Crouse-Hinds Hall
APH,263,Art Photography:Advanced Digital Imaging,Monday,1:00-3:15,Dineen Hall
APH,264,Beginning Digital Photography,Tuesday,2:00-4:15,Hinds Hall
APH,265,Beginning Seminar in Photography,Wednesday,3:00-5:15,Carnegie
APH,340,Topics in Art Photography,Thursday,4:00-6:15,Hall of Languages
APH,341,Art Photography Intermediate,Friday,5:00-7:15,Physics Building
APH,342,Art Photography IntermediateII,Monday,6:00-8:15,Falk
APH,361,Lighting for Photography,Tuesday,7:00-9:15,Marshall Square Mall
APH,362,Art Photography Junior Seminar,Wednesday,1:00-3:16,Lyman Hall
APH,461,Art Photography:BFA Senior Seminar,Thursday,2:00-4:16,Whitman
APH,462,Art Photography: BFA Exhibition and Portfolio,Friday,3:00-5:16,Schine
APH,499,Honors Capstone Project,Monday,4:00-6:16,Heroy Geology Building
APH,561,Art Photography: Contemporary Art and Photography,Tuesday,5:00-7:16,HBC Gifford
APH,562,Art Photography: Contemporary Critical & Theoretical Texts on Art & Photography,Wednesday,6:00-8:16,Crouse-Hinds Hall
APH,563,Art Photography: Non-Traditional Modes,Thursday,7:00-9:16,Dineen Hall
APH,564,Image/Sequence: Photo Book,Friday,1:00-3:17,Hinds Hall
APH,565,Art Photography: Performance Art,Monday,2:00-4:17,Carnegie
APH,566,Art Photography: Photography and Cinema,Tuesday,3:00-5:17,Hall of Languages
AR,B 10,#NAME?,Wednesday,4:00-6:17,Physics Building
ARB,102,Arabic II,Thursday,5:00-7:17,Falk
ARB,201,Arabic III,Friday,6:00-8:17,Marshall Square Mall
ARB,202,Arabic IV,Monday,7:00-9:17,Lyman Hall
ARB,290,Independent Study,Tuesday,1:00-3:18,Whitman
ARB,301,Arabic V,Wednesday,2:00-4:18,Schine
ARB,302,Arabic VI,Thursday,3:00-5:18,Heroy Geology Building
ARB,336,Arabic Cultures,Friday,4:00-6:18,HBC Gifford
ARB,426,Structure of Standard Arabic,Monday,5:00-7:18,Crouse-Hinds Hall
ARB,480,International Course,Tuesday,6:00-8:18,Dineen Hall
ARC,101,The Art of Architecture,Wednesday,7:00-9:18,Hinds Hall
ARC,107,Architectural Design I,Thursday,1:00-3:19,Carnegie
ARC,108,Architectural Design II,Friday,2:00-4:19,Hall of Languages
ARC,121,Introduction to Building and Structural Systems,Monday,3:00-5:19,Physics Building
ARC,133,Introduction to the History of Architecture I,Tuesday,4:00-6:19,Falk
ARC,134,Introduction to the History of Architecture II,Wednesday,5:00-7:19,Marshall Square Mall
ARC,141,Introduction to Architecture,Thursday,6:00-8:19,Lyman Hall
ARC,181,Representation I,Friday,7:00-9:19,Whitman
ARC,182,Representation II,Monday,1:00-3:20,Schine
ARC,193,Introduction to Architectural Concepts for Nonmajors,Tuesday,2:00-4:20,Heroy Geology Building
ARC,194,Introduction to Architectural Drawing for Nonmajors,Wednesday,3:00-5:20,HBC Gifford
ARC,207,Architectural Design III,Thursday,4:00-6:20,Crouse-Hinds Hall
ARC,208,Architectural Design IV,Friday,5:00-7:20,Dineen Hall
ARC,211,Structures I,Monday,6:00-8:20,Hinds Hall
ARC,222,Building Systems Design I,Tuesday,7:00-9:20,Carnegie
ARC,242,Architectural Theory,Wednesday,1:00-3:21,Hall of Languages
ARC,307,Architectural Design V,Thursday,2:00-4:21,Physics Building
ARC,311,Structures II,Friday,3:00-5:21,Falk
ARC,322,Building Systems Design II,Monday,4:00-6:21,Marshall Square Mall
ARC,331,Art and Architecture of India,Tuesday,5:00-7:21,Lyman Hall
ARC,332,Sixteenth Century Italian Architecture,Wednesday,6:00-8:21,Whitman
ARC,334,The Architecture of Revolutions,Thursday,7:00-9:21,Schine
ARC,335,Early Renaissance Architecture in Italy 1400-1520,Friday,1:00-3:22,Heroy Geology Building
ARC,337,"American Architecture, Settlement to 1860",Monday,2:00-4:22,HBC Gifford
ARC,338,"American Architecture, 1860 - World War I",Tuesday,3:00-5:22,Crouse-Hinds Hall
ARC,394,Architecture Design for Non Majors,Wednesday,4:00-6:22,Dineen Hall
ARC,407,Architectural Design VI,Thursday,5:00-7:22,Hinds Hall
ARC,408,Architectural Design VII,Friday,6:00-8:22,Carnegie
ARC,409,Architectural Design VIII,Monday,7:00-9:22,Hall of Languages
ARC,423,Advanced Building Systems,Tuesday,1:00-3:23,Physics Building
ARC,431,Early Modern Architecture,Wednesday,2:00-4:23,Falk
ARC,432,The City in Architectural History,Thursday,3:00-5:23,Marshall Square Mall
ARC,433,"French Architecture, Sixteenth and Seventeenth Centuries",Friday,4:00-6:23,Lyman Hall
ARC,434,London’s Built Environment,Monday,5:00-7:23,Whitman
ARC,435,Islamic Architecture,Tuesday,6:00-8:23,Schine
ARC,436,Modern Architecture: The International Style to Present,Wednesday,7:00-9:23,Heroy Geology Building
ARC,490,Independent Study,Thursday,1:00-3:24,HBC Gifford
ARC,498,Directed Research: Topics,Friday,2:00-4:24,Crouse-Hinds Hall
ARC,499,Honors Capstone Project,Monday,3:00-5:24,Dineen Hall
ARC,500,Selected Topics,Tuesday,4:00-6:24,Hinds Hall
ARC,505,Thesis Preparation,Wednesday,5:00-7:24,Carnegie
ARC,508,Architectural Design IX-Thesis,Thursday,6:00-8:24,Hall of Languages
ARC,511,Advanced Structural Resolution,Friday,7:00-9:24,Physics Building
ARC,534,Introduction to History of Buddhist Architecture,Monday,1:00-3:25,Falk
ARC,536,Italian Urbanism: 100 Cities,Tuesday,2:00-4:25,Marshall Square Mall
ARC,538,Artistic Patronage of Medici,Wednesday,3:00-5:25,Lyman Hall
ARC,551,Le Corbusier 1887-1965,Thursday,4:00-6:25,Whitman
ARC,552,Politics of Public Space,Friday,5:00-7:25,Schine
ARC,553,NYC City Planning,Monday,6:00-8:25,Heroy Geology Building
ARC,555,Introduction to Building Information Modeling,Tuesday,7:00-9:25,HBC Gifford
ARC,556,"Rem Koolhaas: Architect, Historian, Provocateur, Document Maker",Wednesday,1:00-3:26,Crouse-Hinds Hall
ARC,557,Utopia:Design and Cultural Imagination,Thursday,2:00-4:26,Dineen Hall
